id,Name,Fueltype,Technology,Set,Country,Capacity,Duration,YearCommissioned,Retrofit,lat,lon,File,projectID,bus
555,Kiste,Hydro,,PP,Norway,7.0,0.0,,,59.2428,9.8119,ENTSOE,"{'CARMA': ['CARMA22333'], 'ENTSOE': ['50WP000000003516'], 'GPD': ['GPD11664']}",6455
556,Hodnaberg,Hydro,,PP,Norway,43.0,0.0,,,58.99967460000001,5.6187068,ENTSOE,"{'CARMA': ['CARMA18004'], 'ENTSOE': ['50WP000000002730'], 'GPD': ['GPD11628']}",6444
557,Katowice,Hard Coal,,PP,Poland,135.0,0.0,,,50.26489189999999,19.023781500000002,ENTSOE,"{'CARMA': ['CARMA21486', 'CARMA21485'], 'ENTSOE': ['19W000000000076Y'], 'GPD': ['GPD12046']}",4386
558,Schwabstadl,Hydro,Run-Of-River,PP,Germany,12.0,0.0,1981.0,1981.0,48.148375,10.867023,Enerparc AG,"{'CARMA': ['CARMA40212'], 'GPD': ['GPD8605'], 'OPSD': ['BNA1245']}",3499
559,Mucomir,Hydro,,PP,United Kingdom,1.75,0.0,1962.0,1962.0,56.910344,-4.984838,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA29721'], 'GPD': ['GPD16240'], 'OPSD': ['OEU5257']}",6230
560,Mullardoch tunnel,Hydro,,PP,United Kingdom,2.4,0.0,1955.0,1955.0,57.33673100000001,-4.954291,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA29814'], 'GPD': ['GPD16245'], 'OPSD': ['OEU5228']}",6245
561,Nuova biaschina,Hydro,Run-Of-River,PP,Switzerland,141.0,0.0,1959.0,1974.0,46.3649512107,8.9287853678,"Swiss Federal Office of Energy, BFE","{'CARMA': ['CARMA4485', 'CARMA31907'], 'GPD': ['GPD13998'], 'OPSD': ['OEU944']}",3766
562,Oliana,Hydro,,PP,Spain,37.62,0.0,1956.0,1965.0,41.9397,1.1954,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA32455'], 'GPD': ['GPD13343'], 'OPSD': ['OEU4819', 'OEU4818', 'OEU4817']}",2564
563,Peares,Hydro,,PP,Spain,199.17,0.0,1953.0,2013.0,42.465274,-7.723018,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA25875'], 'GPD': ['GPD13317'], 'OPSD': ['OEU4999', 'OEU4998', 'OEU4997', 'OEU4091']}",2810
564,Pitlochry,Hydro,,PP,United Kingdom,15.05,0.0,1950.0,1950.0,56.699293,-3.739996,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA25561', 'CARMA34810'], 'GPD': ['GPD16445'], 'OPSD': ['OEU5281', 'OEU5282']}",6231
565,Pontenovo,Hydro,,PP,Spain,38.08000000000001,0.0,1952.0,1954.0,42.3746,-7.2351,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA35252'], 'GPD': ['GPD13660'], 'OPSD': ['OEU4414', 'OEU4411', 'OEU4413', 'OEU4412']}",2832
566,Pradella,Hydro,Run-Of-River,PP,Switzerland,300.96,0.0,1970.0,2014.0,46.804819733900004,10.331344182999999,"Swiss Federal Office of Energy, BFE","{'CARMA': ['CARMA35651'], 'GPD': ['GPD14097'], 'OPSD': ['OEU1010', 'OEU993']}",3801
567,Riba roja,Hydro,,PP,Spain,261.28,0.0,1967.0,1969.0,41.242605,0.430549,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA37224'], 'GPD': ['GPD13680'], 'OPSD': ['OEU4865', 'OEU4864', 'OEU4863', 'OEU4862']}",2497
568,River,Hydro,,PP,United Kingdom,3.0,0.0,2008.0,2008.0,57.214223,-4.451958,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA37552'], 'GPD': ['GPD16545'], 'OPSD': ['OEU5195']}",6245
569,Salas,Hydro,,PP,Spain,52.82,0.0,1973.0,1973.0,41.92566400000001,-7.942624,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA38817'], 'GPD': ['GPD13683'], 'OPSD': ['OEU5009']}",2801
570,Seros,Hydro,,PP,Spain,44.24,0.0,1989.0,1989.0,41.4744,0.4534,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA40627'], 'GPD': ['GPD13696'], 'OPSD': ['OEU4908', 'OEU4906', 'OEU4907', 'OEU4909']}",2504
571,Kangsliaga,Hydro,,PP,Norway,3.3,0.0,,,66.1422446,13.880033,ENTSOE,"{'CARMA': ['CARMA61453'], 'ENTSOE': ['50WP000000003419'], 'GPD': ['GPD11660']}",6787
572,Sobradelo,Hydro,,PP,Spain,44.25,0.0,1971.0,1972.0,42.414211,-6.919955,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA42149'], 'GPD': ['GPD13703'], 'OPSD': ['OEU4491', 'OEU4490']}",2835
573,Soutelo,Hydro,,PP,Spain,213.64,0.0,1994.0,1994.0,42.167153000000006,-7.1751070000000015,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA42474'], 'GPD': ['GPD13709'], 'OPSD': ['OEU4496', 'OEU4495']}",2817
574,Sron mor,Hydro,,PP,United Kingdom,4.0,0.0,1957.0,1957.0,56.337014,-4.975787,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA42783'], 'GPD': ['GPD16743'], 'OPSD': ['OEU5273']}",6230
